                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8344,                 2.0514,                 1.4173,                 0.5586,                    0.5,                0.45234,                0.18958,                 1.8085,                 7.2718,                 1.1079,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.8225,                  2.075,                 1.4319,                0.44455,                0.47727,                0.38063,                0.13343,                 2.0252,                 5.3269,                 1.1885,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.8503,                   2.07,                 1.4231,                0.50575,                0.48851,                0.39443,                0.14009,                 1.9631,                 6.3613,                 1.1392,               0.001307,               0.001307,               0.001307
                     37,                  1.817,                 2.0273,                 1.4016,                0.59501,                0.43182,                0.52936,                0.21825,                 1.8459,                 5.2335,                 1.0936,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.7775,                 2.0463,                 1.3855,                0.44935,                0.55648,                0.47859,                0.17073,                  1.818,                 4.7944,                 1.0387,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.8163,                 1.9752,                 1.3735,                0.33812,                0.65909,                0.34529,                0.13792,                 1.8078,                 4.9381,                 1.0283,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.7474,                 1.9467,                  1.336,                0.33244,                0.63636,                 0.3706,                0.12724,                 2.1415,                 4.8981,                 1.1428,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.8721,                 2.0009,                 1.3874,                0.30204,                0.61364,                0.30029,                 0.1102,                 2.1052,                 5.0265,                 1.1881,               0.001208,               0.001208,               0.001208
                     42,                  1.772,                 1.9473,                 1.3659,                0.07354,                0.20455,                0.07228,                0.02106,                 2.5509,                  6.589,                 1.3982,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.8773,                 2.0583,                 1.4351,                0.57943,                    0.5,                0.55971,                0.20022,                 1.8185,                 4.7898,                  1.057,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.7834,                 1.9777,                 1.4095,                0.50051,                0.47727,                0.44403,                0.16805,                 1.8412,                 5.0283,                 1.0881,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.7611,                 1.9973,                 1.3801,                0.60904,                0.53121,                0.56022,                0.25902,                 1.7169,                 4.6762,                 1.0039,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.7539,                 1.9882,                 1.3624,                0.57672,                0.52273,                0.53502,                 0.2328,                 1.9188,                 4.8097,                 1.1443,               0.001109,               0.001109,               0.001109
                     47,                  1.782,                  1.977,                 1.3603,                 0.4383,                0.59091,                0.51236,                0.20717,                 1.9604,                 4.5022,                 1.1375,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.7037,                 1.8874,                 1.3569,                0.39985,                    0.5,                0.42454,                0.16141,                 2.0605,                 4.7612,                 1.1444,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.7015,                 1.8923,                 1.3289,                0.44731,                0.57024,                0.38635,                0.14286,                 2.0863,                 5.1883,                 1.1532,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.6385,                 1.8886,                 1.2958,                0.35031,                0.57603,                0.31406,                 0.1109,                 1.9831,                 5.2151,                 1.0873,              0.0010298,              0.0010298,              0.0010298
                     51,                  1.661,                 1.8877,                 1.3302,                0.74596,                0.63636,                0.61767,                0.25831,                 1.7769,                 5.0275,                 1.0824,                0.00101,                0.00101,                0.00101
                     52,                 1.6421,                  1.862,                 1.3023,                0.70317,                0.59225,                0.65553,                0.26456,                  1.845,                 5.0669,                 1.0615,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.6906,                 1.8942,                  1.294,                0.59331,                0.70455,                0.63069,                0.25559,                 1.8419,                 4.5131,                 1.0443,              0.0009704,              0.0009704,              0.0009704
                     54,                  1.646,                   1.86,                 1.2831,                0.47875,                0.77236,                0.46044,                0.18521,                 1.8691,                 4.3914,                 1.0604,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.6003,                 1.7839,                 1.2841,                0.56643,                0.71268,                0.59066,                0.23598,                 1.7463,                 4.1944,                  1.022,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.6157,                 1.7803,                 1.2827,                0.60026,                0.59091,                0.52185,                 0.2472,                 1.7024,                 4.4064,                 1.0114,               0.000911,               0.000911,               0.000911
                     57,                 1.6037,                 1.8431,                 1.2948,                0.63535,                0.61364,                0.57154,                0.25206,                 1.7331,                 4.5361,                 1.0284,              0.0008912,              0.0008912,              0.0008912
                     58,                   1.53,                 1.7607,                 1.2592,                0.49076,                0.61329,                0.47133,                0.19135,                 1.8127,                 5.0667,                 1.0572,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.5985,                 1.7553,                 1.2551,                0.43012,                0.59091,                0.37651,                0.15296,                 1.9937,                 5.0254,                 1.0971,              0.0008516,              0.0008516,              0.0008516
                     60,                  1.607,                 1.8244,                 1.2624,                0.39792,                0.58588,                0.43832,                0.18435,                 1.8994,                 4.6773,                 1.0655,              0.0008318,              0.0008318,              0.0008318
                     61,                  1.523,                 1.7588,                 1.2563,                0.51087,                0.59091,                 0.5456,                0.21651,                 1.7985,                 4.6135,                 1.0286,               0.000812,               0.000812,               0.000812
                     62,                 1.5867,                  1.789,                 1.2736,                0.70823,                 0.5518,                0.60783,                 0.2768,                 1.6711,                 4.5692,                 1.0078,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.4916,                  1.775,                 1.2389,                0.68007,                0.52273,                0.64334,                0.29959,                 1.5931,                 4.3797,                0.99253,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.5563,                 1.7177,                 1.2489,                 0.8179,                0.63636,                0.69381,                0.32575,                 1.6103,                  4.273,                0.99047,              0.0007526,              0.0007526,              0.0007526
